"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","732-10955-ND","691137710002","TERM BLK 2POS SIDE ENTRY 5MM PCB","","1","0","0.39000","0.39"
"2","1","380-SS-90000-001-ND","SS-90000-001","MODULAR JACK 8P8C UNSHLD HRZ","","1","0","0.74000","0.74"
"3","1","S1011EC-40-ND","PRPC040SAAN-RC","CONN HEADER VERT 40POS 2.54MM","","1","0","0.66000","0.66"
"4","2","1276-1066-1-ND","CL21B105KAFNNNE","CAP CER 1UF 25V X7R 0805","","2","0","0.10000","0.20"
"5","2","1276-1099-1-ND","CL21B104KACNNNC","CAP CER 0.1UF 25V X7R 0805","","2","0","0.10000","0.20"
"6","4","RNCP0805FTD10K0CT-ND","RNCP0805FTD10K0","RES 10K OHM 1% 1/4W 0805","SMD 0805","4","0","0.10000","0.40"
"7","1","A130138CT-ND","CRGCQ0805J4K7","RES 4.7K OHM 5% 1/8W 0805","","1","0","0.10000","0.10"
"8","2","BSS138CT-ND","BSS138","MOSFET N-CH 50V 220MA SOT23-3","","0","2","0.35000","0.70"
